证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
300923,研奥股份,229400,7/14/28,3.2%,40200,7/14/28,7.0%,0,0.0,25.52,-47.1859351784998,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-24,铁路、船舶、航空航天和其他运输设备制造业,资本货物,轨交设备Ⅱ,运输设备,创业板,吉林省,长春市,1
300925,法本信息,28400,14,3.1%,68400,7/14/28,6.0%,0,0.0,14.06,-22.9047046594982,0.0,1121.0561,1125.4458,-4.3897,0.0,0.010350091283988,2020-12-30,软件和信息技术服务业,软件与服务,软件开发,云服务,创业板,广东省,深圳市,1
300926,博俊科技,176400,7/14,3.1%,41400,7/14/28,8.0%,0,0.0,24.19,41.2908778812199,0.0,2091.8674,2072.4523,19.4151,0.0,0.0265415342038273,2021-01-07,汽车制造业,汽车与汽车零部件,汽车零部件,汽车零部件Ⅱ,创业板,江苏省,昆山市,1
300927,江天化学,0,,2.0%,60200,7/14/28,4.0%,0,0.0,16.53,-26.044066359447,0.0,2.8462,2.8293,0.0169,0.0,6.54965270645902e-05,2021-01-07,化学原料和化学制品制造业,材料Ⅱ,化学原料,化学原料,创业板,江苏省,南通市,0
300928,华安鑫创,73200,14/28,3.0%,23400,7/14/28,7.0%,0,0.0,42.64,-50.2060535447547,0.0,211.6435,211.1811,0.4624,0.0,0.00344469791557531,2021-01-06,专业技术服务业,技术硬件与设备,汽车零部件,汽车零部件Ⅱ,创业板,北京,北京市,1
300929,华骐环保,0,,2.0%,83800,7/14/28,6.0%,0,0.0,12.22,-58.342407732717,0.0,24046.5783,20580.4473,3466.131,0.0,0.607077348699636,2021-01-20,生态保护和环境治理业,公用事业Ⅱ,环境治理,环保及公用事业,创业板,安徽省,马鞍山市,0
300930,屹通新材,0,,2.0%,200,7/14/28,5.0%,0,0.0,24.26,-32.6906033991228,0.0,3188.6791,3167.4849,21.1942,0.0,0.0925050943308839,2021-01-21,废弃资源综合利用业,商业和专业服务,金属新材料,其他钢铁,创业板,浙江省,建德市,0
300931,通用电梯,28400,7/14,3.1%,129600,7/14/28,6.0%,0,0.0,7.9,-50.5799895061728,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-21,通用设备制造业,资本货物,专用设备,工程机械Ⅱ,创业板,江苏省,苏州市,1
300932,三友联众,81000,14,3.1%,67400,7/14/28,5.0%,0,0.0,14.86,-60.0636117931548,0.0,77.7213,77.6969,0.0244,0.0,0.0018290500288953,2021-01-22,电气机械和器材制造业,技术硬件与设备,电网设备,电气设备,创业板,广东省,东莞市,1
300933,中辰股份,345000,14,3.1%,123000,7/14/28,6.0%,0,0.0,8.08,-37.2362932098765,0.0,9.4833,8.8283,0.655,0.0,0.000142366368616062,2021-01-22,电气机械和器材制造业,资本货物,电网设备,电气设备,创业板,江苏省,宜兴市,1
300935,盈建科,0,,2.0%,34000,7/14/28,6.0%,0,0.0,28.9,-74.6356207294833,0.0,841.3937,821.8344,19.5593,0.0,0.0247828179753633,2021-01-20,软件和信息技术服务业,软件与服务,软件开发,计算机软件,创业板,北京,北京市,0
300936,中英科技,34000,14/28,3.0%,29800,7/14/28,6.0%,0,0.0,33.44,-48.6193949056038,0.0,40.1165,40.4359,-0.3194,0.0,0.000944175658342003,2021-01-26,计算机、通信和其他电子设备制造业,技术硬件与设备,元件,其他电子零组件Ⅱ,创业板,江苏省,常州市,1
300937,药易购,780600,7/14/28,3.2%,26400,7/14/28,8.0%,0,0.0,35.09,-11.2991746870305,0.0,499.4572,481.4041,18.0531,0.0,0.00512245387756717,2021-01-27,批发业,食品与主要用品零售Ⅱ,医药商业,其他医药医疗,创业板,四川省,成都市,1
300938,信测标准,0,,2.0%,24600,7/14/28,4.0%,0,0.0,39.8,25.0580170289855,0.0,789.5553,821.8277,-32.2724,0.0,0.0213396892839446,2021-01-27,专业技术服务业,商业和专业服务,专业服务,仪器仪表Ⅱ,创业板,广东省,深圳市,0
300939,秋田微,81200,7/14/28,3.0%,29000,7/14/28,7.0%,0,0.0,33.42,-16.5817684447301,0.0,2144.2074,2160.0245,-15.8171,0.0,0.026720619843183,2021-01-28,计算机、通信和其他电子设备制造业,技术硬件与设备,光学光电子,光学光电,创业板,广东省,深圳市,1
300940,南极光,0,,4.0%,59000,7/14/28,6.0%,0,0.0,16.9,-74.3433996038857,0.0,37.3983,30.9983,6.4,0.0,0.000479623788377524,2021-02-03,计算机、通信和其他电子设备制造业,技术硬件与设备,光学光电子,光学光电,创业板,广东省,深圳市,0
300941,创识科技,144200,7/14/28,3.2%,43400,7/14/28,7.0%,0,0.0,21.46,-44.7987619543318,0.0,129.1439,123.9643,5.1796,0.0,0.00128033309322556,2021-02-09,软件和信息技术服务业,软件与服务,计算机设备,计算机设备,创业板,福建省,福州市,1
300942,易瑞生物,232700,7/14/28,3.2%,70300,4-28,8.0%,0,0.0,14.07,-60.404310627081,196.1949,3896.1919,3647.1301,249.0618,0.12768411779133,0.0530590895543224,2021-02-09,医药制造业,医疗保健设备与服务,医疗器械,其他医药医疗,创业板,广东省,深圳市,1
300943,春晖智控,39400,14/28,3.2%,68200,7/14/28,6.0%,0,0.0,14.48,-38.89356,0.0,127.4347,118.8612,8.5735,0.0,0.00165071189702475,2021-02-10,通用设备制造业,资本货物,通用设备,专用机械,创业板,浙江省,绍兴市,1
300945,曼卡龙,760000,14,3.1%,66400,7/14/28,6.0%,0,0.0,14.83,-31.0519337135036,0.0,52.4516,52.6474,-0.1958,0.0,0.000634050543062291,2021-02-10,零售业,耐用消费品与服装,饰品,专营连锁,创业板,浙江省,杭州市,1
300946,恒而达,27000,14,3.1%,28400,7/14/28,6.0%,0,0.0,34.7,-54.9760148305085,9.369,154.3736,146.5047,7.8689,0.00790722192936215,0.00247524486876395,2021-02-08,金属制品业,资本货物,通用设备,通用设备,创业板,福建省,莆田市,1
300947,德必集团,48400,14/28,3.0%,61000,7/14/28,7.0%,0,0.0,16.09,-46.2572151668585,0.0,14.1291,13.9502,0.1789,0.0,0.000520865501269083,2021-02-10,商务服务业,商业和专业服务,一般零售,房地产开发和运营,创业板,上海,上海市,1
